GUNSHIP BATTLE : Helicopter 3D,Action,89M,2.3.80,29 June 2016,com.theonegames.gunshipbattle,GUNSHIP BATTLE : Helicopter 3D,Action,89M,2.3.80,June 29, 2016,http://dl3.apk-dl.com/root/apk/2016/6/30/com.theonegames.gunshipbattle_2005021380.apk?f=GUNSHIP BATTLE : Helicopter 3D_2.3.80_apk-dl.com.apk,
Sniper 3D Assassin: Free Games,Action,48M,1.12.1,4 July 2016,com.fungames.sniper3d,Sniper 3D Assassin: Free Games,Action,48M,1.12.1,July 4, 2016,http://dl3.apk-dl.com/root/apk/2016/7/5/com.fungames.sniper3d_769.apk?f=Sniper 3D Assassin: Free Games_1.12.1_apk-dl.com.apk,
Gunship Strike 3D,Action,18M,1.0.3,6 January 2016,com.wordsmobile.gunship,Gunship Strike 3D,Action,18M,1.0.3,January 6, 2016,http://dl3.apk-dl.com/root/apk/2016/1/9/com.wordsmobile.gunship_3.apk?f=Gunship Strike 3D_1.0.3_apk-dl.com.apk,
Pixel Gun 3D (Pocket Edition),Action,412M,10.5.1,20 June 2016,com.pixel.gun3d,Pixel Gun 3D (Pocket Edition),Action,412M,10.5.1,June 20, 2016,http://dl3.apk-dl.com/root/apk/2016/6/21/com.pixel.gun3d_979.apk?f=Pixel Gun 3D (Pocket Edition)_10.5.1_apk-dl.com.apk,
Grand Gangsters 3D,Action,18M,1.4,25 May 2016,com.wordsmobile.grandfightgangsters,Grand Gangsters 3D,Action,18M,1.4,May 25, 2016,http://dl3.apk-dl.com/root/apk/2016/6/3/com.wordsmobile.grandfightgangsters_5.apk?f=Grand Gangsters 3D_1.4_apk-dl.com.apk,
WARSHIP BATTLE:3D World War II,Action,57M,1.3.9,7 July 2016,com.joycity.warshipbattle,WARSHIP BATTLE:3D World War II,Action,57M,1.3.9,July 7, 2016,http://dl3.apk-dl.com/root/apk/2016/7/8/com.joycity.warshipbattle_2000002139.apk?f=WARSHIP BATTLE:3D World War II_1.3.9_apk-dl.com.apk,
San Andreas: 3D Real Gangsters,Action,49M,1.6,15 January 2016,com.vg.sanandreasrealgangsters3d,San Andreas: Real Gangsters 3D,Action,49M,1.6,January 15, 2016,http://dl3.apk-dl.com/root/apk/2016/1/15/com.vg.sanandreasrealgangsters3d_7.apk?f=San Andreas: Real Gangsters 3D_1.6_apk-dl.com.apk,
Plane Simulator 3D,Action,17M,1.0.4,15 October 2015,com.wordsmobile.planesimulator,Plane Simulator 3D,Action,17M,1.0.4,October 15, 2015,http://dl3.apk-dl.com/root/apk/2015/10/20/com.wordsmobile.planesimulator_5.apk?f=Plane Simulator 3D_1.0.4_apk-dl.com.apk,
PEPI Skate 3D,Action,Varies with device,Varies with device,13 March 2016,com.foosegames.pepiskate3d,PEPI Skate 3D,Action,Undefined,50,March 13, 2016,http://dl3.apk-dl.com/root/apk/2016/3/15/com.foosegames.pepiskate3d_50.apk?f=PEPI Skate 3D_50_apk-dl.com.apk,
VELOZ Police 3D,Action,Varies with device,Varies with device,28 March 2016,com.foosegames.velozpolice3D,VELOZ Police 3D,Action,Undefined,112,March 28, 2016,http://dl3.apk-dl.com/root/apk/2016/7/11/com.foosegames.velozpolice3D_112.apk?f=VELOZ Police 3D_112_apk-dl.com.apk,
